term,weight
care,-3.332820482645854
technician not,-2.419747087686431
sas,-2.019344589566876
retail associate,-1.865102266275601
experienced,-1.5448324098051835
english,-1.471502214642462
software,-1.3726574375945144
talent,-1.3706588251602356
operations,-1.348512417517552
graduate,-1.3408348059176953
for all,-1.3143254770690351
marketing,-1.2614733282722497
to train,-1.2567680246015707
support,-1.2345282351809979
open,-1.230689607315233
manager not,-1.1941977228774896
shipping,-1.1840640360327
client services,-1.1735375304833529
corporate,-1.1495022382185374
consultant not,-1.1283074888236488
client,-1.1241831532686568
production,-1.1101122387516176
switch,-1.1039363104204554
health rn,-1.1008584982534124
etl developer,-1.0993459631571434
intern not,-1.0945792439058248
positions,-1.0869250204019134
designer,-1.0801526043757426
home health,-1.0695334736800537
interfacing role,-1.0265278850647674
