term,weight
sales executive,2.233348175572056
engineering product,2.186363988435737
line requirements,2.117202538989867
quality improvement,2.0815136788226476
optical,2.0701596630157364
trainer,2.0687612913468545
rn,2.0063903931792693
bookkeeping,2.002102448499832
hiring for,1.990470312483467
club,1.9599106335097256
admin assistant,1.9443563956032504
qualifications personal,1.9321710214686305
specialty,1.918340752342266
csr,1.88322960739967
senior engineer,1.882192878521612
real,1.8794204787575894
fidelity,1.8591427353819083
guys,1.8510601510225042
administrative assistant,1.7619268600908935
construction,1.7565720225098798
optician,1.7490066545087715
center,1.7480329844824303
document,1.7478997499723137
administrative,1.7314692893717982
perioperative,1.710065538151325
ux,1.6942501768732727
surgical,1.6860260063680896
northwestern,1.6858855720340702
cash,1.6311010773209655
brand,1.5873582237264414
